title_id,name,promotion,active,names,rating,votes
24,Triple Crown Championship,6,True,"Triple Crown Championship,",9.46,148.0
1501,EVE Championship,257,True,"EVE Championship,",,
207,JAPW Light Heavyweight Championship,30,False,"JAPW Light Heavyweight Championship,",,
344,AWA World Women's Championship,41,False,"AWA World Women's Championship,",,
3129,Impact Grand Championship,5,False,"Impact Grand Championship,IMPACT Grand Championship,",4.13,24.0
4813,Sou Ryuo Tag Team Championship,1228,True,"Sou Ryuo Tag Team Championship,",,
5150,Impact Digital Media Championship,5,True,"Impact Digital Media Championship,",8.08,13.0
2543,FSW Tag Team  Championship,1215,True,"FSW Tag Team  Championship,",,
3291,NKPWA Heavyweight Championship,529,True,"NKPWA Heavyweight Championship,",,
1081,AAA Campeon de Campeones Championship,122,False,"AAA Campeon de Campeones Championship,",,
929,WCW World Women's Championship,119,False,"WCW World Women's Championship,",1.24,21.0
986,WCW United States Tag Team Championship,2,False,"WCW United States Tag Team Championship,NWA United States Tag Team Championship,",6.0,2.0
129,OVW Southern Tag Team Championship,11,True,"OVW Southern Tag Team Championship,NWA OVW Southern Tag Team Championship,",5.63,16.0
2680,IWA World Heavyweight    Championship,1153,False,"IWA World Heavyweight    Championship,",,
3625,Zelo Pro Women's Championship,2072,True,"Zelo Pro Women's Championship,",,
1045,Anarchy Young Lions Championship,54,False,"Anarchy Young Lions Championship,NWA Anarchy Young Lions Championship,",,
2672,GFW Tag Team Championship,1303,False,"GFW Tag Team Championship,",,
3927,RCW      Championship,1135,True,"RCW      Championship,",,
3280,Crown Of Glory Championship,1924,True,"Crown Of Glory Championship,",,
233,WWF International Heavyweight Championship,1,False,"WWF International Heavyweight Championship,",3.0,1.0
2227,King Of FREEDOM World Tag Team Championship,602,True,"King Of FREEDOM World Tag Team Championship,King Of FREEDOM Tag Team Championship,",8.0,1.0
4658,Pan-Afrikan World Diaspora Wrestling World Championship,2762,True,"Pan-Afrikan World Diaspora Wrestling World Championship,Pan-Afrikan World Diaspora Wrestling Championship,",,
717,BJW Tag Team Championship,117,True,"BJW Tag Team Championship,",8.85,13.0
4040,IPW Junior Heavyweight   Championship,1468,False,"IPW Junior Heavyweight   Championship,",,
137,NWA World Television Championship,9,True,"NWA World Television Championship,NWA Television Championship,NWA Mid-Atlantic Television Championship,",7.68,19.0
199,World Class World Tag Team Championship,62,False,"World Class World Tag Team Championship,",,
3626,Pacific Coast Junior Heavyweight Championship,408,False,"Pacific Coast Junior Heavyweight Championship,",,
3571,PWR Tag Team    Championship,1779,True,"PWR Tag Team    Championship,",,
2675,AML Tag Team Championship,1428,True,"AML Tag Team Championship,",,
2,ECW World Television Championship,3,False,"ECW World Television Championship,ECW Television Championship,",7.9,41.0
6097,Tenryu Project United National Tag Team Championship,644,True,"Tenryu Project United National Tag Team Championship,",,
743,WCW Light Heavyweight Championship,2,False,"WCW Light Heavyweight Championship,WCW World Light Heavyweight Championship,",4.5,2.0
3200,ROH World Six Man Tag Team Championship,4,True,"ROH World Six Man Tag Team Championship,",5.93,30.0
5838,NWA Wildside Tag Team Championship,15,False,"NWA Wildside Tag Team Championship,NWA Georgia Tag Team  Championship,",,
1977,RevPro Undisputed British Tag Team Championship,962,True,"RevPro Undisputed British Tag Team Championship,RevPro British Tag Team Championship,",6.5,10.0
2212,FSW Women's Championship,440,True,"FSW Women's Championship,",,
5371,MLW Women's World Featherweight Championship,22,True,"MLW Women's World Featherweight Championship,",7.0,2.0
102,AAA Americas Championship,122,False,"AAA Americas Championship,AAA World Heavyweight  Championship,",,
1958,NWA FUW Women's Championship,768,False,"NWA FUW Women's Championship,",,
1557,NWA World Historic Light Heavyweight Championship,78,True,"NWA World Historic Light Heavyweight Championship,",,
315,Open The Brave Gate Championship,96,True,"Open The Brave Gate Championship,Open The Gamma Gate Championship,Open The Brave Gate Championship,",9.34,29.0
2699,ICW Women's World Championship,218,True,"ICW Women's World Championship,ICW Women's   Championship,",,
179,NWA Worlds Heavyweight Championship,160,True,"NWA Worlds Heavyweight Championship,NWA World Heavyweight Championship,",8.41,153.0
577,WEW Tag Team Championship,2165,True,"WEW Tag Team Championship,",,
1741,BJW World Strong Heavyweight Championship,117,True,"BJW World Strong Heavyweight Championship,",9.29,49.0
4392,AEW World Tag Team Championship,2287,True,"AEW World Tag Team Championship,",9.26,192.0
4994,Million Dollar Championship,1,False,"Million Dollar Championship,",5.54,13.0
521,UWF Heavyweight Championship,64,False,"UWF Heavyweight Championship,",9.0,2.0
1378,NWA Southern Tag Team Championship,2880,False,"NWA Southern Tag Team Championship,",,
2948,WrestlePro Tag Team Championship,1654,True,"WrestlePro Tag Team Championship,",,
1457,WCWA Texas Heavyweight Championship,9,False,"WCWA Texas Heavyweight Championship,NWA Texas Heavyweight Championship,Texas Heavyweight Championship,",,
5252,Internet Championship,,True,"Internet Championship,",7.67,3.0
21,All Asia Tag Team Championship,6,True,"All Asia Tag Team Championship,",6.53,15.0
92,CMLL World Light Heavyweight Championship,78,True,"CMLL World Light Heavyweight Championship,",,
234,WWF International Tag Team Championship,1,False,"WWF International Tag Team Championship,WWWF International Tag Team Championship,",4.5,2.0
1554,AAA World Trios Championship,122,True,"AAA World Trios Championship,",,
131,NWA National Heavyweight Championship,160,True,"NWA National Heavyweight Championship,",,
4642,Horror Slam Tag Team Championship,2544,True,"Horror Slam Tag Team Championship,",,
5043,Zona 23 Extremo Championship,2240,True,"Zona 23 Extremo Championship,",8.0,1.0
739,KO-D Openweight Championship,118,True,"KO-D Openweight Championship,",8.8,35.0
143,GHC Junior Heavyweight Tag Team Championship,8,True,"GHC Junior Heavyweight Tag Team Championship,",7.65,23.0
121,ROH World Championship,4,True,"ROH World Championship,ROH Championship,",9.25,327.0
