wrestler_id,name,birthplace,gender,age,height,weight,career_start,career_end,promotion,rating,votes
15653,Tiger Tasker,"Toronto, Ontario, Canada",male,,188.0,,1936-01-01,1978-01-01,,,
8601,Teo,"Gary, Indiana, USA",male,,106.0,39.0,1998-01-01,,,,
17540,Sonny Kiss,"Jersey City, New Jersey, USA",diverse,29.0,173.0,85.0,2015-01-01,,2287,5.22,116.0
1405,Bob Geigel,"Algona, Iowa, USA",male,,180.0,100.0,1950-01-01,1976-01-01,,10.0,1.0
3724,Magnitude Kishiwada,"Kishiwada, Osaka, Japan",male,52.0,175.0,90.0,1993-03-06,,,5.5,22.0
26573,Ray Jaz,"South Plainfield, New Jersey, USA",male,27.0,175.0,94.0,2018-01-01,,,7.0,1.0
25588,Action Andretti,"Philadelphia, Pennsylvania, USA",male,25.0,,84.0,2019-11-02,,2287,6.66,64.0
26093,Theresa Theis,USA,female,,175.0,64.0,1947-01-01,1962-01-01,,,
1582,Brandon Thomas,"England, UK",male,,190.0,111.0,2001-09-01,,,,
3944,Mike Youngblood,"Phoenix, Arizona, USA",male,,,110.0,,,,,
19162,Alonzo Alvarez,"Ladera Ranch, California, USA",male,24.0,,,2016-11-19,,,,
1075,Captain Lou Albano,"Rom, Italien",male,,178.0,159.0,1953-01-01,1986-01-01,,8.03,62.0
5487,Huracan Ramirez Jr.,"Mexico City, Distrito Federal, Mexiko",male,57.0,174.0,80.0,1987-10-25,,,,
17711,JXT,"Melton, Victoria, Australia",male,29.0,185.0,100.0,2011-05-14,,,7.0,1.0
22587,Alyx Sky,"Detroit, Michigan, USA",female,,164.0,68.0,2018-12-15,,,4.0,1.0
15311,John Smith,USA,male,,183.0,110.0,,,,,
14561,Marcus Lewis,"San Jose, California, USA",male,,,,2013-01-01,,,,
2225,Arch Kincaid,"Newport, Rhode Island, USA",male,,185.0,103.0,2000-01-01,,,,
5662,Kevin Kiley Jr.,"Fairfax Station, Virginia, USA",male,42.0,188.0,113.0,2007-10-30,,,6.15,232.0
2574,Buddy Roberts,"Vancouver, British Columbia, Canada",male,,178.0,116.0,1965-01-01,1989-01-01,,6.38,13.0
24340,Adrien Soriano,"New Jersey, USA",male,,175.0,86.0,2015-01-01,,,5.0,1.0
2947,Tojo Yamamoto,"Hawaii, USA",male,,172.0,115.0,1953-01-01,1991-09-01,,9.33,3.0
6640,Andrew Pendelton III,"St. Louis, Missouri, USA",male,,183.0,91.0,2006-01-01,,,,
22328,Thekla,"Wien, Österreich",female,30.0,155.0,52.0,2017-06-18,,745,7.79,63.0
18195,Silas Mason,"Las Vegas, Nevada, USA",male,31.0,196.0,121.0,2015-01-01,,9,,
11286,Paul Lee,"Chattanooga, Tennessee, USA",male,,,103.0,,,,1.0,1.0
7416,Hans Krueger,"Lynn, Massachusetts, USA",male,,188.0,107.0,1977-01-01,1988-01-01,,,
1181,BLK Jeez,"Philadelphia, Pennsylvania, USA",male,48.0,170.0,77.0,2000-02-26,,9,5.63,60.0
16733,Indio Jeronimo,Mexiko,male,,,,1966-01-01,,,,
3275,Wilbur Snyder,"Santa Monica, California, USA",male,,188.0,107.0,1953-01-01,,,10.0,1.0
4666,Wes Adams,"Hattisburg, Mississippi, USA",male,43.0,183.0,100.0,2001-03-01,,,7.33,3.0
2888,Volador Jr.,"Monclova, Coahuila, Mexiko",male,42.0,175.0,87.0,1997-10-01,,78,8.1,80.0
5321,Derek Stone,"Denver, Colorado, USA",male,,188.0,114.0,1993-01-01,,,,
623,Stan Stasiak,"Arvida, Quebec, Canada",male,,193.0,122.0,1958-01-01,1984-01-01,,5.37,27.0
11284,Pancho Valdez,USA,male,,185.0,109.0,,,,,
13289,Seiki Yoshioka,"Kumamoto, Japan",male,35.0,170.0,77.0,2008-10-05,,8,7.7,43.0
2003,Bob Orton Sr.,"Kansas City, Missouri, USA",male,,188.0,111.0,1950-01-01,1981-01-01,,6.13,8.0
13477,Mitsu Hirai,"Kobe, Hyogo, Japan",male,,179.0,104.0,1958-01-01,1978-08-27,,,
1273,Kadin Anthony,"Santa Maria, California, USA",male,,173.0,83.0,,,,,
2106,Blue Nikita,"Thessaloniki, Griechenland",female,,170.0,65.0,1999-11-07,2018-10-06,,7.98,80.0
