id,username,handle,date,text,replies,retweets,likes,bookmarks,views
1686104446135144448,WWE,@WWE,2023-07-31T20:00:00.000Z,"Just days before #SummerSlam, 
@WWERollins
 & 
@SamiZayn
 will team up to take on #TheJudgmentDay's 
@DomMysterio35
 & 
@ArcherOfInfamy
 TONIGHT on #WWERaw! 

 8/7c on 
@USANetwork",115,545,5072,23,347825
1686098903395946496,WWE,@WWE,2023-07-31T19:37:59.000Z,"@CodyRhodes
 has joined 
@tiktok_us
!

https://tiktok.com/@americannightmarecody/video/7261983356714290478…",34,409,2673,45,254956
1686096893468610563,WWE,@WWE,2023-07-31T19:30:00.000Z,"TONIGHT on #WWERaw
@CodyRhodes
 and 
@BrockLesnar
 will be under the same roof for the last time before they face off at #SummerSlam! 

 8/7c on 
@USANetwork",84,359,2114,13,211378
1686089786908413952,WWE,@WWE,2023-07-31T19:01:45.000Z,"WWE is saddened to learn that beloved entertainer Paul Reubens has passed away.

WWE extends its condolences to Reubens’ family, friends, and fans.

https://wwe.com/article/wwe-remembers-paul-reubens…",275,3124,21066,145,835016
1686028949208383495,UpUpDownDown,@UpUpDwnDwn,2023-07-31T15:00:01.000Z,"It's time for #UUDDSummerGames!  

And we're kicking off with a water balloon toss! Who will have their day in the sun and who's gonna get drenched? 

Watch NOW on #UUDD!
https://youtu.be/IMafijpWGm4",14,168,788,11,160246
1686081919090372608,WWE SummerSlam,@SummerSlam,2023-07-31T18:30:30.000Z,"#TeamRoman or #TeamJey? 

#SummerSlam #UndisputedTitle",454,401,1501,22,171625
1686081794641170433,WWE,@WWE,2023-07-31T18:30:00.000Z,"The #NXTGAB was filled with a ton of memorable moments, but who claimed the top spot in this special edition of #WWETop10? 

#WWENXT",7,112,591,6,86915
1686074245720260615,WWE,@WWE,2023-07-31T18:00:00.000Z,"Can't wait for this one.

Who walks out of #SummerSlam with the Intercontinental Championship?",73,349,2465,29,245080
1686059146825678849,WWE NXT,@WWENXT,2023-07-31T17:00:00.000Z,"""What's your favorite snack?""

Watch the full #UpNXT episode with 
@DomMysterio35
 here  http://ms.spr.ly/601898ajj",78,286,1595,62,330392
1686059283924893714,WWE After The Bell,@AfterTheBellWWE,2023-07-31T17:00:33.000Z,"What makes 
@maxxinedupri
 a perfect fit for #AlphaAcademy? 
@WWEGable
 & 
@otiswwe
 explain on #AfterTheBell with 
@WWEGraves
 & 
@kev_egan
, available now wherever you get podcasts and on WWE’s YouTube!

: http://ms.spr.ly/601498Ix2
: http://ms.spr.ly/601698Ix4",8,94,470,9,82167
1686051869901172736,Triple H,@TripleH,2023-07-31T16:31:05.000Z,"A genre-bending pioneer whose larger-than-life presence and ruthlessness between the ropes changed the wrestling world forever. Honored to have called Adrian Street a friend.

My thoughts are with Miss Linda and the family, friends and fans of Adrian Street.",69,722,6596,44,333714
1686046617026056192,WWE,@WWE,2023-07-31T16:10:13.000Z,"WWE is saddened to learn that Adrian Street has passed away. 

WWE extends its condolences to Street’s family, friends, and fans.

https://wwe.com/article/wwe-remembers-exotic-adrian-street…",174,1378,6991,74,488829
1686044051127357440,WWE,@WWE,2023-07-31T16:00:01.000Z," years in the making.

Relive the rivalry between 
@FinnBalor
 and 
@WWERollins
 ahead of their World Heavyweight Championship Match at #SummerSlam. 

#WWEPlaylist",21,221,1005,23,97040
